"","Species","LandcoverNA","avg_use","avail","avg_pref","sd_use","sd_pref"
"1","ALAL","Barren land",0.787764265668849,0.9,0.875293628520944,2.26892782607949,2.5210309178661
"2","ALAL","Conifer forest",7.13915809167446,6.85,1.04221286009846,7.61665131098624,1.11191989941405
"3","ALAL","Cropland",4.32530402245089,20.42,0.211817043215029,11.1505925434243,0.546062318483069
"4","ALAL","Deciduous forest",33.8663891487371,29.69,1.14066652572372,16.0899519050043,0.541931690973535
"5","ALAL","Grassland",0.542245088868101,0.62,0.874588853013066,1.66937013278953,2.69253247224118
"6","ALAL","Mixed forest",37.7246585594013,21.37,1.7653092447076,17.6199020305419,0.8245157711999
"7","ALAL","Shrubland",1.27953227315248,1.31,0.976742193246167,2.79857473860242,2.13631659435299
"8","ALAL","Urban/built-up",2.42952291861553,6.25,0.388723666978485,3.512040986134,0.561926557781441
"9","ALAL","Water",9.88396632366698,7.77,1.27206773792368,8.90246569718196,1.1457484809758
"10","ALAL","Wetland",2.02145930776427,4.82,0.419389897876404,3.04642836302589,0.632039079465952
"11","ALAL","Barren land",0.787764265668849,0.9,0.875293628520944,2.26892782607949,2.5210309178661
"12","ALAL","Conifer forest",7.13915809167446,6.85,1.04221286009846,7.61665131098624,1.11191989941405
"13","ALAL","Cropland",4.32530402245089,20.42,0.211817043215029,11.1505925434243,0.546062318483069
"14","ALAL","Deciduous forest",33.8663891487371,29.69,1.14066652572372,16.0899519050043,0.541931690973535
"15","ALAL","Grassland",0.542245088868101,0.62,0.874588853013066,1.66937013278953,2.69253247224118
"16","ALAL","Mixed forest",37.7246585594013,21.37,1.7653092447076,17.6199020305419,0.8245157711999
"17","ALAL","Shrubland",1.27953227315248,1.31,0.976742193246167,2.79857473860242,2.13631659435299
"18","ALAL","Urban/built-up",2.42952291861553,6.25,0.388723666978485,3.512040986134,0.561926557781441
"19","ALAL","Water",9.88396632366698,7.77,1.27206773792368,8.90246569718196,1.1457484809758
"20","ALAL","Wetland",2.02145930776427,4.82,0.419389897876404,3.04642836302589,0.632039079465952
"21","BOUM","Barren land",1.76517287234043,0.9,1.96130319148936,4.97687921637542,5.52986579597269
"22","BOUM","Conifer forest",9.01143617021277,6.85,1.31553812703836,14.9648982653339,2.18465668107064
"23","BOUM","Cropland",9.12829787234043,20.42,0.447027319899139,18.3764673960048,0.899924945935592
"24","BOUM","Deciduous forest",28.6855053191489,29.69,0.966167238772278,22.2817115960251,0.750478666083702
