Field1,VALUE,Count,Area
2,0,1306.00000000000,1118814.64575000000
2,1,174.00000000000,149061.06306400000
2,2,151.00000000000,129357.58921000000
2,3,152.00000000000,130214.26198700000
2,4,166.00000000000,142207.68085400000
2,5,164.00000000000,140494.33530100000
2,6,198.00000000000,169621.20969300000
2,7,174.00000000000,149061.06306400000
2,8,166.00000000000,142207.68085400000
2,9,139.00000000000,119077.51589600000
2,10,166.00000000000,142207.68085400000
2,11,149.00000000000,127644.24365800000
2,12,147.00000000000,125930.89810600000
2,13,150.00000000000,128500.91643400000
2,14,132.00000000000,113080.80646200000
2,15,99.00000000000,84810.60484660000
2,16,143.00000000000,122504.20700100000
2,17,133.00000000000,113937.47923800000
2,18,152.00000000000,130214.26198700000
2,19,223.00000000000,191038.02909900000
2,20,309.00000000000,264711.88785500000
2,21,427.00000000000,365799.27545000000
2,22,214.00000000000,183327.97411300000
2,23,50.00000000000,42833.63881140000
2,24,2.00000000000,1713.34555246000
2,25,4.00000000000,3426.69110491000
2,26,3.00000000000,2570.01832869000
2,29,1.00000000000,856.67277622800
2,31,2.00000000000,1713.34555246000
2,32,1.00000000000,856.67277622800
2,33,2.00000000000,1713.34555246000
2,34,3.00000000000,2570.01832869000
2,35,1.00000000000,856.67277622800
2,36,1.00000000000,856.67277622800
2,38,2.00000000000,1713.34555246000
2,41,1.00000000000,856.67277622800
2,42,1.00000000000,856.67277622800
2,43,2.00000000000,1713.34555246000
2,45,2.00000000000,1713.34555246000
2,46,1.00000000000,856.67277622800
2,47,2.00000000000,1713.34555246000
2,50,2.00000000000,1713.34555246000
2,51,4.00000000000,3426.69110491000
2,52,4.00000000000,3426.69110491000
2,53,1.00000000000,856.67277622800
2,54,4.00000000000,3426.69110491000
2,55,1.00000000000,856.67277622800
2,56,3.00000000000,2570.01832869000
2,57,3.00000000000,2570.01832869000
2,58,2.00000000000,1713.34555246000
2,59,1.00000000000,856.67277622800
2,61,1.00000000000,856.67277622800
2,62,3.00000000000,2570.01832869000
2,64,1.00000000000,856.67277622800
2,66,1.00000000000,856.67277622800
2,68,2.00000000000,1713.34555246000
2,70,1.00000000000,856.67277622800
2,72,1.00000000000,856.67277622800
2,73,1.00000000000,856.67277622800
2,74,1.00000000000,856.67277622800
2,75,3.00000000000,2570.01832869000
2,76,3.00000000000,2570.01832869000
2,77,1.00000000000,856.67277622800
2,78,1.00000000000,856.67277622800
2,79,1.00000000000,856.67277622800
2,80,1.00000000000,856.67277622800
2,83,3.00000000000,2570.01832869000
2,85,1.00000000000,856.67277622800
2,86,2.00000000000,1713.34555246000
2,87,3.00000000000,2570.01832869000
2,88,3.00000000000,2570.01832869000
2,89,2.00000000000,1713.34555246000
2,90,2.00000000000,1713.34555246000
2,91,1.00000000000,856.67277622800
2,92,2.00000000000,1713.34555246000
2,93,1.00000000000,856.67277622800
2,94,1.00000000000,856.67277622800
2,95,1.00000000000,856.67277622800
2,97,1.00000000000,856.67277622800
2,98,2.00000000000,1713.34555246000
2,99,4.00000000000,3426.69110491000
2,100,3.00000000000,2570.01832869000
2,101,35.00000000000,29983.54716800000
3,0,2010.00000000000,1721912.28022000000
3,1,234.00000000000,200461.42963700000
3,2,180.00000000000,154201.09972100000
3,3,187.00000000000,160197.80915500000
3,4,172.00000000000,147347.71751100000
3,5,134.00000000000,114794.15201500000
3,6,132.00000000000,113080.80646200000
3,7,131.00000000000,112224.13368600000
3,8,142.00000000000,121647.53422400000
3,9,122.00000000000,104514.07870000000
3,10,122.00000000000,104514.07870000000
3,11,147.00000000000,125930.89810600000
3,12,175.00000000000,149917.73584000000
3,13,221.00000000000,189324.68354600000
3,14,244.00000000000,209028.15740000000
3,15,227.00000000000,194464.72020400000
3,16,219.00000000000,187611.33799400000
3,17,192.00000000000,164481.17303600000
3,18,181.00000000000,155057.77249700000
3,19,130.00000000000,111367.46091000000
3,20,86.00000000000,73673.85875560000
3,21,25.00000000000,21416.81940570000
3,22,6.00000000000,5140.03665737000
3,24,1.00000000000,856.67277622800
3,28,1.00000000000,856.67277622800
3,33,1.00000000000,856.67277622800
3,41,1.00000000000,856.67277622800
3,64,1.00000000000,856.67277622800
3,66,1.00000000000,856.67277622800
3,74,1.00000000000,856.67277622800
3,97,1.00000000000,856.67277622800
3,101,2.00000000000,1713.34555246000
4,0,1814.00000000000,1554004.41608000000
4,1,306.00000000000,262141.86952600000
4,2,237.00000000000,203031.44796600000
4,3,256.00000000000,219308.23071400000
4,4,262.00000000000,224448.26737200000
4,5,265.00000000000,227018.28570100000
4,6,255.00000000000,218451.55793800000
4,7,283.00000000000,242438.39567300000
4,8,299.00000000000,256145.16009200000
4,9,249.00000000000,213311.52128100000
4,10,217.00000000000,185897.99244200000
4,11,186.00000000000,159341.13637800000
4,12,143.00000000000,122504.20700100000
4,13,103.00000000000,88237.29595150000
4,14,103.00000000000,88237.29595150000
4,15,91.00000000000,77957.22263680000
4,16,84.00000000000,71960.51320320000
4,17,98.00000000000,83953.93207040000
4,18,77.00000000000,65963.80376960000
4,19,53.00000000000,45403.65714010000
4,20,28.00000000000,23986.83773440000
4,21,17.00000000000,14563.43719590000
4,22,4.00000000000,3426.69110491000
4,23,4.00000000000,3426.69110491000
4,24,1.00000000000,856.67277622800
7,0,194.00000000000,166194.51858800000
7,1,55.00000000000,47117.00269260000
7,2,48.00000000000,41120.29325900000
7,3,70.00000000000,59967.09433600000
7,4,73.00000000000,62537.11266470000
7,5,68.00000000000,58253.74878350000
7,6,66.00000000000,56540.40323110000
7,7,69.00000000000,59110.42155980000
7,8,76.00000000000,65107.13099340000
7,9,85.00000000000,72817.18597940000
7,10,73.00000000000,62537.11266470000
7,11,78.00000000000,66820.47654580000
7,12,87.00000000000,74530.53153190000
7,13,83.00000000000,71103.84042700000
7,14,106.00000000000,90807.31428020000
7,15,115.00000000000,98517.36926630000
7,16,147.00000000000,125930.89810600000
7,17,178.00000000000,152487.75416900000
7,18,252.00000000000,215881.53961000000
7,19,464.00000000000,397496.16817000000
7,20,776.00000000000,664778.07435300000
7,21,1089.00000000000,932916.65331300000
7,22,903.00000000000,773575.51693400000
