OID_,OBJECTID_1,Value,Count,Area
1,1,1,106.000000000000000,95400.000000000000000
2,1,5,287.000000000000000,258300.000000000000000
3,1,6,63.000000000000000,56700.000000000000000
4,1,10,21.000000000000000,18900.000000000000000
5,1,16,27.000000000000000,24300.000000000000000
6,2,5,138.000000000000000,124200.000000000000000
7,2,6,301.000000000000000,270900.000000000000000
8,2,8,8.000000000000000,7200.000000000000000
9,2,14,51.000000000000000,45900.000000000000000
10,3,5,138.000000000000000,124200.000000000000000
11,3,6,297.000000000000000,267300.000000000000000
12,3,8,11.000000000000000,9900.000000000000000
13,3,14,53.000000000000000,47700.000000000000000
14,4,5,61.000000000000000,54900.000000000000000
15,4,6,432.000000000000000,388800.000000000000000
16,4,15,5.000000000000000,4500.000000000000000
17,5,5,180.000000000000000,162000.000000000000000
18,5,6,30.000000000000000,27000.000000000000000
19,5,8,36.000000000000000,32400.000000000000000
20,5,10,10.000000000000000,9000.000000000000000
21,5,15,234.000000000000000,210600.000000000000000
22,5,16,8.000000000000000,7200.000000000000000
23,6,5,231.000000000000000,207900.000000000000000
24,6,6,227.000000000000000,204300.000000000000000
25,6,8,10.000000000000000,9000.000000000000000
26,6,17,16.000000000000000,14400.000000000000000
27,6,18,17.000000000000000,15300.000000000000000
28,7,5,22.000000000000000,19800.000000000000000
29,7,6,30.000000000000000,27000.000000000000000
30,7,8,9.000000000000000,8100.000000000000000
31,7,10,2.000000000000000,1800.000000000000000
32,7,15,435.000000000000000,391500.000000000000000
33,8,1,15.000000000000000,13500.000000000000000
34,8,5,297.000000000000000,267300.000000000000000
35,8,6,61.000000000000000,54900.000000000000000
36,8,14,20.000000000000000,18000.000000000000000
37,8,15,6.000000000000000,5400.000000000000000
38,8,16,73.000000000000000,65700.000000000000000
39,8,17,26.000000000000000,23400.000000000000000
40,8,18,1.000000000000000,900.000000000000000
41,9,5,154.000000000000000,138600.000000000000000
42,9,6,10.000000000000000,9000.000000000000000
43,9,8,8.000000000000000,7200.000000000000000
44,9,14,7.000000000000000,6300.000000000000000
45,9,16,79.000000000000000,71100.000000000000000
46,9,17,208.000000000000000,187200.000000000000000
47,9,18,35.000000000000000,31500.000000000000000
48,10,5,76.000000000000000,68400.000000000000000
49,10,6,118.000000000000000,106200.000000000000000
50,10,8,5.000000000000000,4500.000000000000000
51,10,15,298.000000000000000,268200.000000000000000
52,10,16,8.000000000000000,7200.000000000000000
53,11,1,56.000000000000000,50400.000000000000000
54,11,5,96.000000000000000,86400.000000000000000
55,11,6,163.000000000000000,146700.000000000000000
56,11,8,16.000000000000000,14400.000000000000000
57,11,15,81.000000000000000,72900.000000000000000
58,11,17,40.000000000000000,36000.000000000000000
59,11,18,46.000000000000000,41400.000000000000000
60,12,1,92.000000000000000,82800.000000000000000
61,12,5,93.000000000000000,83700.000000000000000
62,12,6,276.000000000000000,248400.000000000000000
63,12,8,6.000000000000000,5400.000000000000000
64,12,14,8.000000000000000,7200.000000000000000
65,12,17,22.000000000000000,19800.000000000000000
66,13,1,15.000000000000000,13500.000000000000000
67,13,5,51.000000000000000,45900.000000000000000
68,13,6,396.000000000000000,356400.000000000000000
69,13,14,6.000000000000000,5400.000000000000000
70,13,16,18.000000000000000,16200.000000000000000
71,13,17,16.000000000000000,14400.000000000000000
72,14,1,7.000000000000000,6300.000000000000000
73,14,5,334.000000000000000,300600.000000000000000
74,14,6,146.000000000000000,131400.000000000000000
75,14,8,14.000000000000000,12600.000000000000000
76,15,5,229.000000000000000,206100.000000000000000
77,15,6,228.000000000000000,205200.000000000000000
78,15,8,25.000000000000000,22500.000000000000000
79,15,10,10.000000000000000,9000.000000000000000
80,15,14,6.000000000000000,5400.000000000000000
81,15,16,3.000000000000000,2700.000000000000000
82,16,1,30.000000000000000,27000.000000000000000
83,16,5,199.000000000000000,179100.000000000000000
84,16,6,40.000000000000000,36000.000000000000000
85,16,14,23.000000000000000,20700.000000000000000
86,16,15,205.000000000000000,184500.000000000000000
87,16,17,5.000000000000000,4500.000000000000000
88,17,1,7.000000000000000,6300.000000000000000
89,17,5,109.000000000000000,98100.000000000000000
90,17,6,297.000000000000000,267300.000000000000000
91,17,8,21.000000000000000,18900.000000000000000
92,17,14,40.000000000000000,36000.000000000000000
93,17,16,24.000000000000000,21600.000000000000000
94,18,1,97.000000000000000,87300.000000000000000
95,18,5,5.000000000000000,4500.000000000000000
96,18,6,85.000000000000000,76500.000000000000000
97,18,10,109.000000000000000,98100.000000000000000
98,18,14,42.000000000000000,37800.000000000000000
99,18,15,126.000000000000000,113400.000000000000000
100,18,17,34.000000000000000,30600.000000000000000
101,19,1,7.000000000000000,6300.000000000000000
102,19,5,82.000000000000000,73800.000000000000000
103,19,6,352.000000000000000,316800.000000000000000
104,19,8,18.000000000000000,16200.000000000000000
105,19,14,14.000000000000000,12600.000000000000000
106,19,16,24.000000000000000,21600.000000000000000
107,20,1,195.000000000000000,175500.000000000000000
108,20,5,129.000000000000000,116100.000000000000000
109,20,6,103.000000000000000,92700.000000000000000
110,20,8,43.000000000000000,38700.000000000000000
111,20,14,34.000000000000000,30600.000000000000000
112,21,5,386.000000000000000,347400.000000000000000
113,21,6,115.000000000000000,103500.000000000000000
114,22,1,24.000000000000000,21600.000000000000000
115,22,5,51.000000000000000,45900.000000000000000
116,22,6,405.000000000000000,364500.000000000000000
117,22,16,6.000000000000000,5400.000000000000000
118,22,17,14.000000000000000,12600.000000000000000
119,23,1,32.000000000000000,28800.000000000000000
120,23,5,14.000000000000000,12600.000000000000000
121,23,6,400.000000000000000,360000.000000000000000
122,23,17,53.000000000000000,47700.000000000000000
123,24,1,239.000000000000000,215100.000000000000000
124,24,5,7.000000000000000,6300.000000000000000
125,24,6,185.000000000000000,166500.000000000000000
126,24,14,7.000000000000000,6300.000000000000000
127,24,17,53.000000000000000,47700.000000000000000
128,24,18,8.000000000000000,7200.000000000000000
129,25,1,11.000000000000000,9900.000000000000000
130,25,5,221.000000000000000,198900.000000000000000
131,25,6,208.000000000000000,187200.000000000000000
132,25,8,2.000000000000000,1800.000000000000000
133,25,17,43.000000000000000,38700.000000000000000
134,25,18,16.000000000000000,14400.000000000000000
135,26,5,225.000000000000000,202500.000000000000000
136,26,6,192.000000000000000,172800.000000000000000
137,26,18,83.000000000000000,74700.000000000000000
138,27,1,155.000000000000000,139500.000000000000000
139,27,5,36.000000000000000,32400.000000000000000
140,27,6,161.000000000000000,144900.000000000000000
141,27,17,4.000000000000000,3600.000000000000000
142,27,18,149.000000000000000,134100.000000000000000
143,28,5,322.000000000000000,289800.000000000000000
144,28,6,172.000000000000000,154800.000000000000000
145,28,18,10.000000000000000,9000.000000000000000
146,29,5,207.000000000000000,186300.000000000000000
147,29,6,113.000000000000000,101700.000000000000000
148,29,14,10.000000000000000,9000.000000000000000
149,29,15,127.000000000000000,114300.000000000000000
150,29,16,13.000000000000000,11700.000000000000000
151,29,17,32.000000000000000,28800.000000000000000
152,30,1,54.000000000000000,48600.000000000000000
153,30,5,169.000000000000000,152100.000000000000000
154,30,6,165.000000000000000,148500.000000000000000
155,30,14,106.000000000000000,95400.000000000000000
156,30,18,5.000000000000000,4500.000000000000000
157,31,1,13.000000000000000,11700.000000000000000
158,31,5,22.000000000000000,19800.000000000000000
159,31,6,462.000000000000000,415800.000000000000000
160,31,18,8.000000000000000,7200.000000000000000
161,32,1,25.000000000000000,22500.000000000000000
162,32,5,119.000000000000000,107100.000000000000000
163,32,6,266.000000000000000,239400.000000000000000
164,32,17,42.000000000000000,37800.000000000000000
165,32,18,47.000000000000000,42300.000000000000000
166,33,1,31.000000000000000,27900.000000000000000
167,33,5,170.000000000000000,153000.000000000000000
168,33,6,174.000000000000000,156600.000000000000000
169,33,14,62.000000000000000,55800.000000000000000
170,33,15,15.000000000000000,13500.000000000000000
171,33,17,45.000000000000000,40500.000000000000000
172,33,18,1.000000000000000,900.000000000000000
173,34,1,193.000000000000000,173700.000000000000000
174,34,5,93.000000000000000,83700.000000000000000
175,34,6,183.000000000000000,164700.000000000000000
176,34,17,33.000000000000000,29700.000000000000000
177,35,1,24.000000000000000,21600.000000000000000
178,35,5,14.000000000000000,12600.000000000000000
179,35,6,45.000000000000000,40500.000000000000000
180,35,17,41.000000000000000,36900.000000000000000
181,35,18,376.000000000000000,338400.000000000000000
182,36,5,232.000000000000000,208800.000000000000000
183,36,6,62.000000000000000,55800.000000000000000
184,36,8,7.000000000000000,6300.000000000000000
185,36,14,40.000000000000000,36000.000000000000000
186,36,18,161.000000000000000,144900.000000000000000
187,37,1,111.000000000000000,99900.000000000000000
188,37,5,34.000000000000000,30600.000000000000000
189,37,6,86.000000000000000,77400.000000000000000
190,37,8,26.000000000000000,23400.000000000000000
191,37,14,25.000000000000000,22500.000000000000000
192,37,16,7.000000000000000,6300.000000000000000
193,37,17,181.000000000000000,162900.000000000000000
194,37,18,31.000000000000000,27900.000000000000000
195,38,5,238.000000000000000,214200.000000000000000
196,38,6,236.000000000000000,212400.000000000000000
197,38,17,27.000000000000000,24300.000000000000000
198,39,5,485.000000000000000,436500.000000000000000
199,39,6,1.000000000000000,900.000000000000000
200,39,8,14.000000000000000,12600.000000000000000
201,40,1,27.000000000000000,24300.000000000000000
202,40,5,135.000000000000000,121500.000000000000000
203,40,6,29.000000000000000,26100.000000000000000
204,40,8,47.000000000000000,42300.000000000000000
205,40,10,13.000000000000000,11700.000000000000000
206,40,15,197.000000000000000,177300.000000000000000
207,40,16,26.000000000000000,23400.000000000000000
208,40,17,26.000000000000000,23400.000000000000000
209,41,5,173.000000000000000,155700.000000000000000
210,41,6,251.000000000000000,225900.000000000000000
211,41,8,13.000000000000000,11700.000000000000000
212,41,18,61.000000000000000,54900.000000000000000
213,42,1,4.000000000000000,3600.000000000000000
214,42,5,42.000000000000000,37800.000000000000000
215,42,6,402.000000000000000,361800.000000000000000
216,42,8,10.000000000000000,9000.000000000000000
217,42,14,38.000000000000000,34200.000000000000000
218,42,18,6.000000000000000,5400.000000000000000
219,43,1,10.000000000000000,9000.000000000000000
220,43,5,237.000000000000000,213300.000000000000000
221,43,6,14.000000000000000,12600.000000000000000
222,43,8,25.000000000000000,22500.000000000000000
223,43,10,34.000000000000000,30600.000000000000000
224,43,17,11.000000000000000,9900.000000000000000
225,43,18,169.000000000000000,152100.000000000000000
226,44,1,122.000000000000000,109800.000000000000000
227,44,5,25.000000000000000,22500.000000000000000
228,44,6,244.000000000000000,219600.000000000000000
229,44,16,93.000000000000000,83700.000000000000000
