"","OID_","OBJECTID_1","Value","Count","Area"
"186",186,20,5,1435,1291500
"187",187,20,6,627,564300
"188",188,20,10,30,27000
"189",189,20,14,333,299700
"190",190,20,15,1101,990900
"191",191,20,16,5,4500
"192",192,20,17,10060,9054000
"193",193,20,18,14906,13415400
"194",194,21,1,499,449100
"195",195,21,5,1647,1482300
"196",196,21,6,911,819900
"197",197,21,8,7,6300
"198",198,21,10,30,27000
"199",199,21,14,1385,1246500
"200",200,21,15,1041,936900
"201",201,21,16,95,85500
"202",202,21,17,23132,20818800
"203",203,21,18,675,607500
"204",204,22,1,3784,3405600
"205",205,22,5,12410,11169000
"206",206,22,6,8216,7394400
"207",207,22,8,53,47700
"208",208,22,10,85,76500
"209",209,22,14,594,534600
"210",210,22,15,3104,2793600
"211",211,22,16,14,12600
"212",212,22,17,1171,1053900
"213",213,23,1,3774,3396600
"214",214,23,5,12433,11189700
"215",215,23,6,8210,7389000
"216",216,23,8,53,47700
"217",217,23,10,87,78300
"218",218,23,14,593,533700
"219",219,23,15,3103,2792700
"220",220,23,16,14,12600
"221",221,23,17,1177,1059300
"222",222,24,1,569,512100
"223",223,24,5,1605,1444500
"224",224,24,6,812,730800
"225",225,24,8,7,6300
"226",226,24,10,30,27000
"227",227,24,14,1299,1169100
"228",228,24,15,783,704700
"229",229,24,16,5,4500
"230",230,24,17,23490,21141000
"231",231,24,18,846,761400
"232",232,25,1,528,475200
"233",233,25,5,1635,1471500
"234",234,25,6,713,641700
"235",235,25,8,7,6300
"236",236,25,10,42,37800
"237",237,25,14,1316,1184400
"238",238,25,15,683,614700
"239",239,25,16,5,4500
"240",240,25,17,22790,20511000
"241",241,25,18,1713,1541700
"242",242,26,1,528,475200
"243",243,26,5,1636,1472400
"244",244,26,6,714,642600
"245",245,26,8,7,6300
"246",246,26,10,42,37800
"247",247,26,14,1316,1184400
"248",248,26,15,685,616500
"249",249,26,16,5,4500
"250",250,26,17,22791,20511900
"251",251,26,18,1707,1536300
"252",252,27,1,461,414900
"253",253,27,5,1552,1396800
"254",254,27,6,633,569700
"255",255,27,8,3,2700
"256",256,27,10,55,49500
"257",257,27,14,1669,1502100
"258",258,27,15,925,832500
"259",259,27,16,5,4500
"260",260,27,17,21003,18902700
"261",261,27,18,3136,2822400
"262",262,28,1,178,160200
"263",263,28,5,4924,4431600
"264",264,28,6,517,465300
"265",265,28,8,8,7200
"266",266,28,10,2,1800
"267",267,28,14,71,63900
"268",268,28,15,113,101700
"269",269,28,17,253,227700
"270",270,29,1,3988,3589200
"271",271,29,5,9934,8940600
"272",272,29,6,6951,6255900
"273",273,29,8,47,42300
"274",274,29,10,193,173700
"275",275,29,14,2094,1884600
"276",276,29,15,4781,4302900
"277",277,29,17,1379,1241100
"278",278,29,18,62,55800
"279",279,30,1,548,493200
"280",280,30,5,4115,3703500
"281",281,30,6,2263,2036700
"282",282,30,8,50,45000
"283",283,30,10,98,88200
"284",284,30,14,1934,1740600
"285",285,30,15,3497,3147300
"286",286,30,16,5,4500
"287",287,30,17,15911,14319900
"288",288,30,18,999,899100
"289",289,31,1,138,124200
"290",290,31,5,5792,5212800
"291",291,31,6,1428,1285200
"292",292,31,8,317,285300
"293",293,31,10,351,315900
"294",294,31,14,287,258300
"295",295,31,15,18391,16551900
"296",296,31,16,1089,980100
"297",297,31,17,1080,972000
"298",298,31,18,563,506700
"299",299,32,1,740,666000
"300",300,32,5,9549,8594100
"301",301,32,6,7404,6663600
"302",302,32,8,755,679500
"303",303,32,10,780,702000
"304",304,32,14,352,316800
"305",305,32,15,5678,5110200
"306",306,32,16,666,599400
"307",307,32,17,1153,1037700
"308",308,32,18,2343,2108700
"309",309,33,1,198,178200
"310",310,33,5,17166,15449400
"311",311,33,6,9660,8694000
"312",312,33,8,92,82800
"313",313,33,10,125,112500
"314",314,33,14,37,33300
"315",315,33,15,61,54900
"316",316,33,16,265,238500
"317",317,33,17,1160,1044000
"318",318,33,18,674,606600
"319",319,34,1,159,143100
"320",320,34,5,17677,15909300
"321",321,34,6,9477,8529300
"322",322,34,8,92,82800
"323",323,34,10,58,52200
"324",324,34,14,37,33300
"325",325,34,15,87,78300
"326",326,34,16,236,212400
"327",327,34,17,1000,900000
"328",328,34,18,620,558000
"329",329,36,1,629,566100
"330",330,36,5,11267,10140300
"331",331,36,6,11786,10607400
"332",332,36,8,317,285300
"333",333,36,10,667,600300
"334",334,36,14,417,375300
"335",335,36,15,1470,1323000
"336",336,36,16,577,519300
"337",337,36,17,608,547200
"338",338,36,18,1709,1538100
"339",339,37,1,272,244800
"340",340,37,5,13812,12430800
"341",341,37,6,9611,8649900
"342",342,37,8,77,69300
"343",343,37,14,2436,2192400
"344",344,37,15,59,53100
"345",345,37,17,1270,1143000
"346",346,37,18,1908,1717200
"347",347,38,1,4225,3802500
"348",348,38,5,5570,5013000
"349",349,38,6,16208,14587200
"350",350,38,8,131,117900
"351",351,38,10,289,260100
"352",352,38,14,1015,913500
"353",353,38,15,493,443700
"354",354,38,17,1177,1059300
"355",355,38,18,324,291600
"356",356,39,1,102,91800
"357",357,39,5,10178,9160200
"358",358,39,6,8098,7288200
"359",359,39,8,33,29700
"360",360,39,10,27,24300
"361",361,39,14,5,4500
"362",362,39,15,9494,8544600
"363",363,39,16,98,88200
"364",364,39,17,1401,1260900
"365",365,39,18,5,4500
"366",366,40,1,121,108900
"367",367,40,5,10094,9084600
"368",368,40,6,8382,7543800
"369",369,40,8,27,24300
"370",370,40,10,37,33300
"371",371,40,14,5,4500
"372",372,40,15,9213,8291700
"373",373,40,16,97,87300
"374",374,40,17,1392,1252800
"375",375,40,18,56,50400
"376",376,41,1,135,121500
"377",377,41,5,10090,9081000
"378",378,41,6,8380,7542000
"379",379,41,8,27,24300
"380",380,41,10,37,33300
"381",381,41,14,5,4500
"382",382,41,15,9214,8292600
"383",383,41,16,97,87300
"384",384,41,17,1393,1253700
"385",385,41,18,57,51300
"386",386,42,1,146,131400
"387",387,42,5,10085,9076500
"388",388,42,6,8400,7560000
"389",389,42,8,29,26100
"390",390,42,10,37,33300
"391",391,42,14,5,4500
"392",392,42,15,9193,8273700
"393",393,42,16,97,87300
"394",394,42,17,1396,1256400
"395",395,42,18,55,49500
"396",396,43,1,172,154800
"397",397,43,5,10030,9027000
"398",398,43,6,8439,7595100
"399",399,43,8,30,27000
"400",400,43,10,37,33300
"401",401,43,14,5,4500
"402",402,43,15,9189,8270100
"403",403,43,16,97,87300
"404",404,43,17,1396,1256400
"405",405,43,18,52,46800
"406",406,44,1,179,161100
"407",407,44,5,10015,9013500
"408",408,44,6,8444,7599600
"409",409,44,8,30,27000
"410",410,44,10,37,33300
"411",411,44,14,5,4500
"412",412,44,15,9180,8262000
"413",413,44,16,97,87300
"414",414,44,17,1395,1255500
"415",415,44,18,52,46800
"416",416,45,1,162,145800
"417",417,45,5,10043,9038700
"418",418,45,6,8436,7592400
"419",419,45,8,37,33300
"420",420,45,10,37,33300
"421",421,45,14,5,4500
"422",422,45,15,9183,8264700
"423",423,45,16,98,88200
"424",424,45,17,1401,1260900
"425",425,45,18,44,39600
"426",426,46,1,679,611100
"427",427,46,5,8154,7338600
"428",428,46,6,867,780300
"429",429,46,8,865,778500
"430",430,46,10,166,149400
"431",431,46,14,705,634500
"432",432,46,15,3709,3338100
"433",433,46,16,688,619200
"434",434,46,17,13462,12115800
"435",435,46,18,144,129600
"436",436,47,1,679,611100
"437",437,47,5,8154,7338600
"438",438,47,6,867,780300
"439",439,47,8,865,778500
"440",440,47,10,166,149400
"441",441,47,14,705,634500
"442",442,47,15,3709,3338100
"443",443,47,16,688,619200
"444",444,47,17,13462,12115800
"445",445,47,18,144,129600
"446",446,48,1,679,611100
"447",447,48,5,8154,7338600
"448",448,48,6,867,780300
"449",449,48,8,865,778500
"450",450,48,10,166,149400
"451",451,48,14,705,634500
"452",452,48,15,3709,3338100
"453",453,48,16,688,619200
"454",454,48,17,13462,12115800
"455",455,48,18,144,129600
"456",456,49,1,169,152100
"457",457,49,5,9743,8768700
"458",458,49,6,5265,4738500
"459",459,49,8,1300,1170000
"460",460,49,10,791,711900
