"","OID_","OBJECTID_1","Value","Count","Area"
"228",228,74,17,12,10800
"229",229,75,5,4,3600
"230",230,75,6,32,28800
"231",231,75,17,12,10800
"232",232,76,6,48,43200
"233",233,77,5,21,18900
"234",234,77,6,22,19800
"235",235,77,17,1,900
"236",236,78,5,20,18000
"237",237,78,6,15,13500
"238",238,78,14,2,1800
"239",239,78,17,8,7200
"240",240,79,1,9,8100
"241",241,79,5,10,9000
"242",242,79,6,1,900
"243",243,79,17,24,21600
"244",244,80,5,4,3600
"245",245,80,6,32,28800
"246",246,80,17,12,10800
"247",247,81,5,4,3600
"248",248,81,6,32,28800
"249",249,81,17,12,10800
"250",250,82,5,16,14400
"251",251,82,6,28,25200
"252",252,83,5,12,10800
"253",253,83,6,19,17100
"254",254,83,8,2,1800
"255",255,83,16,2,1800
"256",256,83,17,9,8100
"257",257,84,5,4,3600
"258",258,84,6,32,28800
"259",259,84,17,12,10800
"260",260,85,5,16,14400
"261",261,85,6,8,7200
"262",262,85,10,4,3600
"263",263,85,14,5,4500
"264",264,85,16,6,5400
"265",265,85,17,6,5400
"266",266,86,5,4,3600
"267",267,86,6,32,28800
"268",268,86,17,12,10800
"269",269,87,5,4,3600
"270",270,87,6,32,28800
"271",271,87,17,12,10800
"272",272,88,5,4,3600
"273",273,88,6,32,28800
"274",274,88,17,12,10800
"275",275,89,5,25,22500
"276",276,89,6,1,900
"277",277,89,10,5,4500
"278",278,89,16,5,4500
"279",279,89,17,8,7200
"280",280,90,1,12,10800
"281",281,90,5,33,29700
"282",282,90,6,2,1800
"283",283,90,15,1,900
"284",284,91,5,4,3600
"285",285,91,6,32,28800
"286",286,91,17,12,10800
"287",287,92,5,4,3600
"288",288,92,6,32,28800
"289",289,92,17,12,10800
"290",290,93,5,4,3600
"291",291,93,6,32,28800
"292",292,93,17,12,10800
"293",293,94,5,22,19800
"294",294,94,6,14,12600
"295",295,94,17,8,7200
"296",296,95,5,4,3600
"297",297,95,6,18,16200
"298",298,95,16,23,20700
"299",299,96,5,11,9900
"300",300,96,6,23,20700
"301",301,96,17,10,9000
"302",302,97,5,28,25200
"303",303,97,6,1,900
"304",304,97,10,5,4500
"305",305,97,16,5,4500
"306",306,97,17,6,5400
"307",307,98,5,4,3600
"308",308,98,6,32,28800
"309",309,98,17,12,10800
"310",310,99,5,4,3600
"311",311,99,6,32,28800
"312",312,99,17,12,10800
"313",313,100,5,4,3600
"314",314,100,6,32,28800
"315",315,100,17,12,10800
"316",316,101,5,32,28800
"317",317,101,17,13,11700
"318",318,102,10,9,8100
"319",319,102,14,1,900
"320",320,102,17,35,31500
"321",321,103,10,28,25200
"322",322,103,15,18,16200
"323",323,104,5,4,3600
"324",324,104,6,32,28800
"325",325,104,17,12,10800
"326",326,105,1,4,3600
"327",327,105,5,10,9000
"328",328,105,6,5,4500
"329",329,105,17,10,9000
"330",330,105,18,16,14400
"331",331,106,5,4,3600
"332",332,106,6,32,28800
"333",333,106,17,12,10800
"334",334,107,5,4,3600
"335",335,107,6,32,28800
"336",336,107,17,12,10800
"337",337,108,5,22,19800
"338",338,108,6,16,14400
"339",339,108,17,10,9000
